time,P_CALC,SOIL_MOISTURE_5,SOIL_MOISTURE_10,SOIL_MOISTURE_20,SOIL_MOISTURE_50,SOIL_MOISTURE_100
2024-04-01T00:00:00.0,0.0,0.209,0.258,0.258,0.267,0.266
2024-04-01T01:00:00.0,0.0,0.209,0.258,0.258,0.267,0.265
2024-04-01T02:00:00.0,0.0,0.209,0.258,0.258,0.267,0.265
2024-04-01T03:00:00.0,0.0,0.209,0.258,0.258,0.267,0.265
2024-04-01T04:00:00.0,0.0,0.209,0.257,0.258,0.266,0.264
2024-04-01T05:00:00.0,0.0,0.209,0.257,0.258,0.266,0.265
2024-04-01T06:00:00.0,0.0,0.209,0.257,0.258,0.266,0.265
2024-04-01T07:00:00.0,0.0,0.209,0.257,0.258,0.266,0.264
2024-04-01T08:00:00.0,0.0,0.21,0.257,0.258,0.266,0.264
2024-04-01T09:00:00.0,0.0,0.209,0.257,0.258,0.266,0.265
2024-04-01T10:00:00.0,0.0,0.209,0.257,0.257,0.266,0.265
2024-04-01T11:00:00.0,0.0,0.209,0.256,0.257,0.266,0.265
2024-04-01T12:00:00.0,0.0,0.209,0.256,0.257,0.266,0.265
2024-04-01T13:00:00.0,0.0,0.209,0.256,0.257,0.266,0.265
2024-04-01T14:00:00.0,0.0,0.208,0.256,0.257,0.266,0.264
2024-04-01T15:00:00.0,0.0,0.208,0.256,0.257,0.266,0.264
2024-04-01T16:00:00.0,0.0,0.207,0.255,0.257,0.266,0.264
2024-04-01T17:00:00.0,0.0,0.208,0.255,0.257,0.266,0.265
2024-04-01T18:00:00.0,0.0,0.208,0.255,0.257,0.266,0.265
2024-04-01T19:00:00.0,0.0,0.208,0.255,0.257,0.266,0.265
2024-04-01T20:00:00.0,0.0,0.207,0.255,0.257,0.266,0.265
2024-04-01T21:00:00.0,0.0,0.207,0.255,0.257,0.266,0.265
2024-04-01T22:00:00.0,0.0,0.208,0.255,0.257,0.266,0.265
2024-04-01T23:00:00.0,0.0,0.208,0.255,0.256,0.266,0.265
2024-04-02T00:00:00.0,0.0,0.208,0.255,0.256,0.266,0.265
2024-04-02T01:00:00.0,0.0,0.208,0.255,0.257,0.266,0.265
2024-04-02T02:00:00.0,0.0,0.208,0.255,0.257,0.266,0.265
2024-04-02T03:00:00.0,0.0,0.208,0.255,0.257,0.266,0.264
2024-04-02T04:00:00.0,0.0,0.208,0.255,0.256,0.266,0.265
2024-04-02T05:00:00.0,0.0,0.208,0.254,0.257,0.266,0.264
2024-04-02T06:00:00.0,0.0,0.208,0.255,0.257,0.266,0.264
2024-04-02T07:00:00.0,0.0,0.208,0.255,0.256,0.266,0.264
2024-04-02T08:00:00.0,0.0,0.208,0.254,0.256,0.266,0.264
2024-04-02T09:00:00.0,0.0,0.208,0.255,0.257,0.266,0.264
2024-04-02T10:00:00.0,0.0,0.207,0.254,0.256,0.266,0.265
2024-04-02T11:00:00.0,0.0,0.205,0.253,0.255,0.266,0.264
2024-04-02T12:00:00.0,0.0,0.204,0.252,0.254,0.265,0.264
2024-04-02T13:00:00.0,0.0,0.202,0.251,0.254,0.266,0.265
2024-04-02T14:00:00.0,0.0,0.201,0.25,0.253,0.266,0.264
2024-04-02T15:00:00.0,0.0,0.2,0.25,0.253,0.265,0.264
2024-04-02T16:00:00.0,0.0,0.2,0.249,0.252,0.265,0.265
2024-04-02T17:00:00.0,0.0,0.199,0.249,0.252,0.265,0.265
2024-04-02T18:00:00.0,0.0,0.199,0.248,0.252,0.265,0.264
2024-04-02T19:00:00.0,0.0,0.199,0.248,0.251,0.265,0.264
2024-04-02T20:00:00.0,0.0,0.198,0.248,0.251,0.265,0.264
2024-04-02T21:00:00.0,0.0,0.198,0.249,0.252,0.265,0.264
2024-04-02T22:00:00.0,0.0,0.198,0.248,0.252,0.265,0.264
2024-04-02T23:00:00.0,0.0,0.198,0.248,0.251,0.265,0.264
2024-04-03T00:00:00.0,0.0,0.198,0.249,0.252,0.265,0.264
2024-04-03T01:00:00.0,0.0,0.198,0.249,0.252,0.265,0.264
2024-04-03T02:00:00.0,0.0,0.198,0.248,0.252,0.264,0.264
2024-04-03T03:00:00.0,0.0,0.198,0.249,0.252,0.264,0.264
2024-04-03T04:00:00.0,0.0,0.198,0.249,0.251,0.264,0.263
2024-04-03T05:00:00.0,0.0,0.198,0.248,0.251,0.264,0.263
2024-04-03T06:00:00.0,0.0,0.198,0.249,0.252,0.264,0.263
2024-04-03T07:00:00.0,0.0,0.198,0.248,0.251,0.264,0.263
2024-04-03T08:00:00.0,0.0,0.198,0.249,0.251,0.264,0.263
